#TrainType3  -  Started: 5/25/2007 3:03:34 PM									
#SubID	Block	Trial	Condition	Digit	Picture	Response	Correct_Response	Accuracy	RT
26	4	41	2	5	3	","	","	C	530
26	4	42	2	2	5	X	X	C	514
26	4	43	2	4	4	M	M	C	530
26	4	44	2	6	6	.	.	C	530
26	4	45	2	6	6	.	.	C	530
26	4	46	2	5	3	","	","	C	530
26	4	47	2	3	1	C	C	C	738
26	4	48	2	4	4	M	M	C	524
26	4	49	2	3	1	C	C	C	514
26	4	50	2	2	5	X	X	C	482
26	5	1	2	3	1	C	C	C	587
26	5	2	2	6	6	.	.	C	556
26	5	3	2	5	3	","	","	C	386
26	5	4	2	2	5	X	X	C	450
26	5	5	2	5	3	","	","	C	498
26	5	6	2	2	5	X	X	C	514
26	5	7	2	1	2	Z	Z	C	386
26	5	8	2	1	2	Z	Z	C	402
26	5	9	2	1	2	Z	Z	C	402
26	5	10	2	5	3	","	","	C	546
26	5	11	2	6	6	.	.	C	482
26	5	12	2	1	2	Z	Z	C	450
26	5	13	2	5	3	","	","	C	450
26	5	14	2	2	5	X	X	C	594
26	5	15	2	6	6	.	.	C	514
26	5	16	2	6	6	.	.	C	498
26	5	17	2	5	3	","	","	C	418
26	5	18	2	2	5	X	X	C	460
26	5	19	2	1	2	Z	Z	C	418
26	5	20	2	2	5	X	X	C	418
26	5	21	2	1	2	Z	Z	C	424
26	5	22	2	5	3	","	","	C	546
26	5	23	2	3	1	C	C	C	514
26	5	24	2	3	1	C	C	C	514
26	5	25	2	3	1	C	C	C	386
26	5	26	2	2	5	X	X	C	470
26	5	27	2	6	6	.	.	C	562
26	5	28	2	3	1	C	C	C	578
26	5	29	2	5	3	","	","	C	514
26	5	30	2	6	6	.	.	C	562
26	5	31	2	1	2	Z	Z	C	466
26	5	32	2	6	6	.	.	C	498
26	5	33	2	1	2	Z	Z	C	498
26	5	34	2	2	5	X	X	C	386
26	5	35	2	6	6	.	.	C	476
26	5	36	2	5	3	","	","	C	674
26	5	37	2	1	2	Z	Z	C	434
