sid,Block,Trial,Condition,Digit,Picture,Response,Correct_Response,Accuracy,RT
9,5,12,3,4,4,M,M,C,533
9,5,13,3,4,4,M,M,C,402
9,5,14,3,4,4,M,M,C,513
9,5,15,3,5,3,",",",",C,578
9,5,16,3,5,3,",",",",C,578
9,5,17,3,6,6,.,.,C,514
9,5,18,3,6,6,.,.,C,450
9,5,19,3,3,1,X,C,I,562
9,5,20,3,2,5,X,X,C,590
9,5,21,3,3,1,C,C,C,574
9,5,22,3,2,5,X,X,C,594
9,5,23,3,6,6,.,.,C,562
9,5,24,3,2,5,X,X,C,530
9,5,25,3,6,6,.,.,C,498
9,5,26,3,3,1,C,C,C,738
9,5,27,3,4,4,M,M,C,482
9,5,28,3,6,6,.,.,C,530
9,5,29,3,1,2,Z,Z,C,542
9,5,30,3,1,2,Z,Z,C,590
9,5,31,3,5,3,",",",",C,514
9,5,32,3,6,6,.,.,C,482
9,5,33,3,2,5,X,X,C,546
9,5,34,3,3,1,C,C,C,574
9,5,35,3,3,1,C,C,C,898
9,5,36,3,4,4,M,M,C,498
9,5,37,3,2,5,X,X,C,546
9,5,38,3,2,5,X,X,C,498
9,5,39,3,3,1,C,C,C,610
9,5,40,3,3,1,C,C,C,498
9,5,41,3,2,5,X,X,C,674
9,5,42,3,1,2,Z,Z,C,510
9,5,43,3,4,4,.,M,I,382
9,5,44,3,4,4,M,M,C,654
9,5,45,3,4,4,M,M,C,414
9,5,46,3,2,5,X,X,C,546
9,5,47,3,6,6,.,.,C,578
9,5,48,3,5,3,",",",",C,562
9,5,49,3,6,6,.,.,C,513
9,5,50,3,6,6,.,.,C,426
9,6,1,3,6,6,.,.,C,778
9,6,2,3,1,2,Z,Z,C,562
9,6,3,3,2,5,X,X,C,654
9,6,4,3,4,4,M,M,C,642
9,6,5,3,1,2,Z,Z,C,482
9,6,6,3,2,5,X,X,C,706
9,6,7,3,4,4,M,M,C,562
9,6,8,3,5,3,",",",",C,578
9,6,9,3,6,6,.,.,C,450
9,6,10,3,3,1,X,C,I,754
9,6,11,3,1,2,Z,Z,C,626
9,6,12,3,5,3,",",",",C,786
9,6,13,3,6,6,.,.,C,514
9,6,14,3,2,5,X,X,C,498
9,6,15,3,6,6,.,.,C,578
9,6,16,3,3,1,C,C,C,722
9,6,17,3,2,5,X,X,C,734
9,6,18,3,3,1,C,C,C,786
9,6,19,3,4,4,M,M,C,606
9,6,20,3,1,2,Z,Z,C,578
9,6,21,3,6,6,.,.,C,610
9,6,22,3,3,1,C,C,C,1058
9,6,23,3,1,2,Z,Z,C,578
9,6,24,3,6,6,.,.,C,514
9,6,25,3,3,1,C,C,C,738
9,6,26,3,2,5,X,X,C,546
9,6,27,3,6,6,.,.,C,514
9,6,28,3,4,4,M,M,C,555
9,6,29,3,6,6,.,.,C,722
9,6,30,3,4,4,M,M,C,754
9,6,31,3,4,4,M,M,C,514
9,6,32,3,3,1,C,C,C,898
9,6,33,3,2,5,X,X,C,690
9,6,34,3,6,6,.,.,C,690
9,6,35,3,4,4,M,M,C,561
9,6,36,3,6,6,.,.,C,593
9,6,37,3,6,6,.,.,C,562
9,6,38,3,6,6,.,.,C,498
9,6,39,3,1,2,Z,Z,C,546
9,6,40,3,3,1,C,C,C,654
9,6,41,3,2,5,X,X,C,514
9,6,42,3,3,1,C,C,C,1154
9,6,43,3,2,5,X,X,C,658
9,6,44,3,5,3,",",",",C,638
9,6,45,3,1,2,Z,Z,C,606
9,6,46,3,3,1,C,C,C,722
9,6,47,3,2,5,X,X,C,738
9,6,48,3,2,5,X,X,C,626
9,6,49,3,3,1,C,C,C,770
9,6,50,3,3,1,C,C,C,570
9,7,1,3,5,3,",",",",C,642
9,7,2,3,1,2,Z,Z,C,654
9,7,3,3,1,2,Z,Z,C,466
9,7,4,3,5,3,",",",",C,626
9,7,5,3,2,5,X,X,C,642
9,7,6,3,5,3,",",",",C,706
9,7,7,3,2,5,X,X,C,802
9,7,8,3,1,2,Z,Z,C,718
9,7,9,3,5,3,",",",",C,594
9,7,10,3,1,2,Z,Z,C,578
9,7,11,3,3,1,C,C,C,786
9,7,12,3,3,1,C,C,C,594
9,7,13,3,4,4,M,M,C,610
9,7,14,3,5,3,",",",",C,878
9,7,15,3,3,1,C,C,C,594
9,7,16,3,1,2,Z,Z,C,530
9,7,17,3,6,6,M,.,I,641
9,7,18,3,4,4,M,M,C,606
9,7,19,3,3,1,C,C,C,850
9,7,20,3,2,5,X,X,C,718
9,7,21,3,3,1,C,C,C,802
9,7,22,3,6,6,.,.,C,606
9,7,23,3,5,3,",",",",C,546
9,7,24,3,2,5,X,X,C,642
9,7,25,3,4,4,M,M,C,626
9,7,26,3,6,6,.,.,C,770
9,7,27,3,2,5,X,X,C,802
9,7,28,3,4,4,M,M,C,510
9,7,29,3,6,6,.,.,C,754
9,7,30,3,6,6,.,.,C,705
9,7,31,3,1,2,Z,Z,C,622
9,7,32,3,2,5,X,X,C,658
9,7,33,3,6,6,.,.,C,514
9,7,34,3,1,2,Z,Z,C,734
9,7,35,3,3,1,C,C,C,594
9,7,36,3,2,5,X,X,C,674
9,7,37,3,5,3,",",",",C,574
9,7,38,3,6,6,.,.,C,542
9,7,39,3,1,2,Z,Z,C,786
9,7,40,3,5,3,",",",",C,546
9,7,41,3,6,6,.,.,C,562
9,7,42,3,4,4,M,M,C,833
9,7,43,3,1,2,Z,Z,C,594
9,7,44,3,1,2,Z,Z,C,1313
9,7,45,3,1,2,Z,Z,C,562
9,7,46,3,1,2,Z,Z,C,578
9,7,47,3,4,4,M,M,C,526
9,7,48,3,2,5,X,X,C,578
9,7,49,3,3,1,C,C,C,702
9,7,50,3,5,3,",",",",C,529
9,8,1,3,6,6,.,.,C,566
9,8,2,3,4,4,M,M,C,481
9,8,3,3,4,4,M,M,C,415
9,8,4,3,3,1,C,C,C,882
9,8,5,3,3,1,C,C,C,561
9,8,6,3,4,4,M,M,C,658
9,8,7,3,6,6,.,.,C,482
9,8,8,3,6,6,.,.,C,562
9,8,9,3,5,3,",",",",C,562
9,8,10,3,4,4,M,M,C,546
9,8,11,3,6,6,.,.,C,578
9,8,12,3,5,3,",",",",C,610
9,8,13,3,3,1,C,C,C,610
9,8,14,3,2,5,X,X,C,530
9,8,15,3,4,4,M,M,C,385
9,8,16,3,6,6,.,.,C,658
9,8,17,3,5,3,",",",",C,466
9,8,18,3,2,5,X,X,C,594
9,8,19,3,4,4,M,M,C,530
9,8,20,3,5,3,",",",",C,654
9,8,21,3,3,1,C,C,C,562
9,8,22,3,4,4,M,M,C,513
9,8,23,3,3,1,X,C,I,530
9,8,24,3,6,6,.,.,C,558
9,8,25,3,3,1,C,C,C,594
9,8,26,3,6,6,.,.,C,546
9,8,27,3,6,6,.,.,C,434
9,8,28,3,5,3,",",",",C,546
9,8,29,3,1,2,Z,Z,C,574
9,8,30,3,1,2,Z,Z,C,562
9,8,31,3,4,4,M,M,C,529
9,8,32,3,1,2,Z,Z,C,565
9,8,33,3,2,5,X,X,C,610
9,8,34,3,5,3,",",",",C,562
9,8,35,3,3,1,C,C,C,690
9,8,36,3,2,5,X,X,C,497
9,8,37,3,4,4,M,M,C,514
9,8,38,3,1,2,Z,Z,C,530
9,8,39,3,2,5,X,X,C,578
9,8,40,3,5,3,",",",",C,610
9,8,41,3,2,5,X,X,C,609
9,8,42,3,5,3,",",",",C,610
9,8,43,3,2,5,X,X,C,658
9,8,44,3,1,2,Z,Z,C,594
9,8,45,3,4,4,M,M,C,594
9,8,46,3,1,2,Z,Z,C,574
